kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,amount
"403839","032","03212","522191","03212DL","2376","SAC","2","A","0","00000001","1905","2",342418000
"403839","032","03212","522141","03212DL","2376","SDA","2","A","0","00000001","1905","2",3600000
"403839","032","03212","523133","03212WA","2378","EBA","2","A","0","00000001","1905","2",57750000
"427602","032","03212","521219","03212DL","2376","SAC","2","A","0","00000001","1905","2",148768000
"238755","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","2151","2",187378000
"238755","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","2151","2",650985000
"238755","032","03212","524111","03212DL","2375","QDD","2","A","0","00000001","2151","2",267099000
"238755","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","2151","2",21270000
"238755","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","2151","2",801930000
"238755","032","03212","522191","03212WA","2378","EBA","2","A","0","00000001","2151","2",4250000
"238755","032","03212","524114","03212DL","2375","SCC","2","A","0","00000001","2151","2",2000000
"427618","032","03212","533111","03212DL","2376","RBI","2","A","0","00000001","2151","2",88814000
"238755","032","03212","521213","03212DL","2375","DDA","2","A","0","00000001","2151","2",850000
"238755","032","03212","524111","03212DL","2375","DDA","2","A","0","00000001","2151","2",28901000
"238755","032","03212","524119","03212DL","2375","SCC","2","A","0","00000001","2151","2",557440000
"238755","032","03212","521119","03212WA","2378","EBA","2","A","0","00000001","2151","2",69280000
"238755","032","03212","533111","03212DL","2375","RBQ","2","A","0","00000001","2151","2",200000000
"238755","032","03212","511619","03212WA","2378","EBA","2","A","0","00000001","2151","2",7000
"238755","032","03212","512414","03212WA","2378","EBA","2","A","0","00000001","2151","2",335695000
"238755","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","2151","2",279863000
"427618","032","03212","524111","03212DL","2376","SAC","2","A","0","00000001","2151","2",798050000
"238755","032","03212","524119","03212DL","2375","DDA","2","A","0","00000001","2151","2",3740000
"427618","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","2151","2",45500000
"238755","032","03212","511624","03212WA","2378","EBA","2","A","0","00000001","2151","2",42660000
"634146","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","3351","2",58200000
"427630","032","03212","522191","03212DL","2376","SAC","2","A","0","00000001","3351","2",9556000
"427630","032","03212","522151","03212DL","2376","SAC","2","A","0","00000001","3351","2",73105000
"427630","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","3351","2",2242526000
"427630","032","03212","511152","03212WA","2378","EBA","2","A","0","00000001","3351","2",851922000
"634146","032","03212","524111","03212DL","2376","SAC","2","A","0","00000001","3351","2",690410000
"634146","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","3351","2",95834000
"634146","032","03212","524111","03212WA","2378","EBA","2","A","0","00000001","3351","2",48500000
"634146","032","03212","511111","03212WA","2378","EBA","2","A","0","00000001","3351","2",3768713000
"403837","032","03212","521211","03212DL","2376","SAC","2","D","0","00000001","0209","2",1950000
"403837","032","03212","521811","03212WA","2378","EBD","2","A","0","00000001","0209","2",12000000
"403837","032","03212","522151","03212DL","2376","SAC","2","A","0","00000001","0209","2",311600000
"238762","032","03212","521219","03212DL","2375","SCC","2","A","0","00000001","0511","2",13100000
"238762","032","03212","521219","03212WA","2378","EBA","2","A","0","00000001","0511","2",79429000
"238762","032","03212","521219","03212DL","2375","DDA","2","A","0","00000001","0511","2",39300000
"238762","032","03212","511126","03212WA","2378","EBA","2","A","0","00000001","0511","2",1139022000
"238762","032","03212","521211","03212DL","2375","DCC","2","A","0","00000001","0511","2",16950000
"238762","032","03212","524119","03212DL","2375","DCC","2","A","0","00000001","0511","2",4500000
"238762","032","03212","524111","03212DL","2375","DCC","2","A","0","00000001","0511","2",23550000
"238762","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","0511","2",458100000
"238762","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","0511","2",1505854000
"238762","032","03212","521811","03212WA","2378","EBA","2","A","0","00000001","0511","2",2995000
"352595","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","2007","2",45708000
"352595","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","2007","2",13000
"403820","032","03212","521811","03212WA","2378","EBD","2","A","0","00000001","2007","2",1265000
"237373","032","03212","521213","03212WA","2378","EBA","2","A","0","00000001","0354","2",8160000
"237373","032","03212","522119","03212WA","2378","EBA","2","A","0","00000001","0354","2",48684000
"237373","032","03212","524111","03212WA","2378","EBD","2","A","0","00000001","0354","2",52650000
