kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"403830","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",06/12/2022,1746000
"403879","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",03/01/2022,600535
"245124","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",29/09/2022,-1067000
"427582","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2022,1119756
"634146","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",07/07/2022,167010
"634146","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/11/2022,3836030
"634146","032","03212","425131","0000000","0000","000","0","D","0","00000001","0000","2",24/03/2022,1252575
"403837","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",22/09/2022,400000
"403820","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/10/2022,154032
"239188","032","03212","424919","0000000","0000","000","0","F","0","00000001","0000","2",29/09/2022,3230000
"403875","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",14/06/2022,1030000
"238741","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",30/06/2022,-555000
"238741","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",24/11/2022,62370000
"403828","032","03212","425911","0000000","0000","000","0","D","0","00000001","0000","2",07/01/2022,5509801
"622035","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/11/2022,4677433
"403822","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",25/03/2022,150
"427511","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",06/09/2022,4780000
"403835","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",04/08/2022,740000
"427511","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",27/06/2022,8580000
"427511","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",30/05/2022,9119000
"427511","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/06/2022,2791629
"427511","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",08/11/2022,150000
"238010","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",03/08/2022,3920000
"239260","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/10/2022,1497111
"238010","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",21/11/2022,33565700
"238010","032","03212","425911","0000000","0000","000","0","0","0","00000000","0000","2",06/04/2022,3353600
"403833","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/02/2022,575519
"427551","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/11/2022,1272562
"427551","032","03212","425129","0000000","0000","000","0","D","0","00000001","0000","2",25/10/2022,1200001
"427551","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",26/08/2022,3575000
"652009","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/11/2022,1264700
"403832","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",07/02/2022,772500
"403824","032","03212","425122","0000000","0000","000","0","D","0","00000001","0000","2",05/01/2022,3456789
"653526","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/06/2022,1402320
"403832","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/07/2022,2962815
"403829","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",03/01/2022,109900
"403829","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",07/11/2022,325000
"403879","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",24/08/2022,50325000
"403839","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",26/01/2022,56400000
"427602","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/11/2022,952309
"634146","032","03212","425412","0000000","0000","000","0","D","0","00000001","0000","2",28/06/2022,600000
"403837","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",29/11/2022,160000
"352595","032","03212","425151","0000000","0000","000","0","D","0","00000001","0000","2",23/11/2022,3750000
"403820","032","03212","425131","0000000","0000","000","0","0","0","00000000","0000","2",01/06/2022,308064
"239188","032","03212","425421","0000000","0000","000","0","D","0","00000001","0000","2",31/01/2022,2850000
"403875","032","03212","425411","0000000","0000","000","0","D","0","00000001","0000","2",31/05/2022,265000
"403875","032","03212","425119","0000000","0000","000","0","D","0","00000001","0000","2",14/11/2022,300000
"403827","032","03212","425289","0000000","0000","000","0","D","0","00000001","0000","2",16/03/2022,4500000
"403828","032","03212","425112","0000000","0000","000","0","D","0","00000001","0000","2",13/04/2022,5415000
