kdsatker,ba,baes1,akun,program,kegiatan,output,kewenangan,sumber_dana,cara_tarik,kdregister,lokasi,budget_type,tanggal,amount
"427582","032","03212","523121","03212DL","2376","SAC","2","A","0","00000001","1312","2",18/05/2022,29915000
"427582","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","1312","2",18/05/2022,7852700
"427582","032","03212","521111","03212WA","2378","EBA","2","A","0","00000001","1312","2",01/06/2022,43058000
"427582","032","03212","524111","03212DL","2376","SAC","2","A","0","00000001","1312","2",08/06/2022,1796000
"427582","032","03212","522112","03212WA","2378","EBA","2","A","0","00000001","1312","2",09/06/2022,48100
"403839","032","03212","524111","03212DL","2376","SAC","2","A","0","00000001","1905","2",14/02/2022,54000000
"403839","032","03212","522151","03212DL","2376","SAC","2","A","0","00000001","1905","2",15/02/2022,40000000
"403839","032","03212","511121","03212WA","2378","EBA","2","A","0","00000001","1905","2",03/01/2022,11945792
"403839","032","03212","522151","03212DL","2376","SAC","2","A","0","00000001","1905","2",24/02/2022,1800000
"403839","032","03212","524111","03212DL","2376","SAC","2","A","0","00000001","1905","2",23/02/2022,510000
"403839","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","1905","2",24/01/2022,19733932
"403839","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","1905","2",07/02/2022,208464
"427602","032","03212","522151","03212DL","2376","SAC","2","A","0","00000001","1905","2",06/04/2022,9210000
"427602","032","03212","512411","03212WA","2378","EBA","2","A","0","00000001","1905","2",06/04/2022,170491878
"427602","032","03212","511119","03212WA","2378","EBA","2","A","0","00000001","1905","2",01/04/2022,2332
"427602","032","03212","523121","03212WA","2378","EBA","2","A","0","00000001","1905","2",12/04/2022,1991000
"403839","032","03212","511122","03212WA","2378","EBA","2","A","0","00000001","1905","2",01/05/2022,3905444
"403839","032","03212","524111","03212DL","2376","SAC","2","A","0","00000001","1905","2",10/05/2022,6485600
"403839","032","03212","511129","03212WA","2378","EBA","2","A","0","00000001","1905","2",11/05/2022,25291000
"427602","032","03212","522111","03212WA","2378","EBA","2","A","0","00000001","1905","2",13/06/2022,28153515
"427602","032","03212","511152","03212WA","2378","EBA","2","A","0","00000001","1905","2",09/06/2022,78677500
"427602","032","03212","523111","03212WA","2378","EBA","2","A","0","00000001","1905","2",09/06/2022,38420000
